id_lex	\ms	\dfr	\smr	\dfe	\sme	\dff	\smf	\sn	\src	\syn	\synor	\ant	\antor
140	2	ёж		african hedgehog		hérisson (m)		Atelerix albiventris	YA				
141	0	ди́кий кот		wild cat		chat (m) ganté	(sauvage)						
142	0	лиши́ться	(чего́ --	(smth --		être privé	(de --						
143	1	, утиха́ть	о жела́нии или чувстве (о голоде, жажде, любви)		doing smth	, s'apaiser	(litt.: ma soif est finie)		DJ, LJ				
143	2	вы́лечить	(боле́знь)	cure		guérir			LJ				
144	0	испо́рченное	(яйцо́, кото́рое выси́живала ку́рица, но из кото́рого не вы́лупился цыплёнок)			pourri	(oeuf)						
145	0	пересмешник?	о́чень пёстрая; подража́ет кри́ку любо́й пти́цы			oiseau (m)	(espèce; imite les cris de tous les oiseaux)						
146	1.1	проходи́ть		pass		passer			LJ				
146	1.2	, проходи́ть	(вброд)			traverser	(à gué)		DJ, LJ				
146	1.3	, ходи́ть	(обраще́ние к де́тям)			, passer autour	(aux enfants)		LJ				
146	1.4	преодоле́ть	к-л тру́дность			, maîtriser	(un problème)		LJ, DJ				
146	1.5	прибе́гнуть к посре́дничеству	(кого -			, avoir recours	(à, un intermédiaire, --		LJ				
146	2	, отправля́ть	(что-л /кого-л; за кем-л --	send		envoyer	(un messager, chercher qn --		LJ, MG, DJ				
146	3	сме́шивать	(к, с --	, mix		, mélanger	(à, avec --		LJ, DJ				
146	4	, вали́ть	де́рево	fell	tree	abattre	(arbre)		LJ, SB				
146	5	, вскопа́ть				labourer			GJ, LJ				
147	0	де́рево	(вид); растёт в низи́нах	tree	(species)	arbre (m)	(espèce; pousse dans les bas-fonds)						
148	1	свя́зка				botte (f)			DJ, --LJ				
148	2	коро́бка		box					DJ, LJ				
149	0	, гоне́ц		, messenger		envoyé (m)							
150	1	, выреза́ние	(у же́нщин)	circumcision		, excision (f)			LJ				
150	2	обре́занный	(мужчи́на)	circumcised					LJ				
151	0	, глу́пости				, bêtises							
153	0	, хорошо́ ра́звитый	(о челове́ке)			, ayant bonne mine	(mais aussi qui a de la graisse; se dit généralement de la beauté des filles)						
154	0	мышь	(вид)	gerbil	(spec)	souris (f)	(espèce)						
155	0	, супру́га		wife		épouse (f)				dhēbɔ̏	dhebɔ		
156	0	, украше́ние				, bijou (m)							
157		глубоко́		deep									
158	1.1	, жи́дкая гли́на	(мо́края земля́)	, slush	(wet earth)	, argile (f)	(terre mouillée)		DJ, LJ				
158	1.2	боло́то				marécage (m)			GJ, LJ				
158	2	ба́нко	(строи́тельный гли́няный раство́р)	building clay		banco (m)	(terre utilisée dans la construction)		LJ, BE, DJ, CE				
158	3	стена́	(до́ма)	wall		mur (m)	(de la maison)		DJ, LJ				
159	1	фо́рма				forme (f)	(du corps)						
159	2	гро́здь	(оре́хов масли́чной па́льмы)	bunch	(of oil palm nuts)	régime (m)							
160	0	си́льно	шум от (си́льного) уда́ра			violemment	(bruit violent, qu'on entend quand on frappe qn ou qch)			báudhɤ̄	'baudhö		
162	0	, низи́на				bas-fond (m)	(terrain où l'eau s’infiltre et stagne)						
163	0	кирпи́ч				brique (f)				blíkɤ́	'blikö		
164	0	, то́пкий		swampy?		boueux							
165	0					, élégant	(personne)						
166	0	ружьё	(кого-л --	gun		fusil (m)	(sur --		LJ, SB				
167	0	, по́ртиться		rot		pourrir	(viande, fruits, légumes)						
168	0	в доста́точном коли́честве				, suffisamment	(quantité)						
169	0	из-за		because of		à cause de							
170	0	оде́жда	включа́я головно́й убор	clothes		vêtement (m)	(y compris couvre-chefs)						
172	0	, то́тчас				, soudain				bládhɤ̄	'bladhö		
173	0	солове́й?		nightingale		rossignol (m)							
174	0	, патро́н	(руже́йный)	, cartridge	(of a gun)	, cartouche (f)	(de fusil)						
175	0	голубо́й цвет		blue		bleu (m)	(couleur)						
176	0	голубо́й		blue		bleu							
177	1	, носи́ть		carry		, transporter							
177	2	, содержа́ть		support		, s'occuper complètement de qn							
177	3	вы́держать				supporter			DJ, LJ				
178	0	те́ло		body		corps (m)							
180	0	гармата́н	(сухо́й прохла́дный ве́тер, кото́рый ду́ет в январе́-феврале́ и прино́сит пыль)	harmattan	(dry and cool wind which blows in January-February and brings dust)	harmattan (m)	(vent sec et froid de janvier-février qui amène de la poussière)						
181	0	, бу́ря		hurricane?		ouragan (m)							
182	0	испо́рченный				pourri							
183	0	зво́нко?	подра́жание зву́ку / звуча́нию рожка́		ideophone for the sound of a corn?	sonore	(son de la corne)						
184	0	широко́ откры́тый				, largement ouvert							
185	0	сли́шком широко́				trop largement							
186	1	с си́лой				de force	(frapper, soulever)						
186	2	, с большо́й ско́ростью				de vitesse			LJ				
187	0	, рывко́м				, par saccade							
188	0	, фарш	из растолчённых фру́ктов, из мя́са			pâte (f)	(de fruits, de viande)		LJ				
189	0	просыпа́ться	(ото сна́)	wake up		se réveiller			LJ				
191	0	, зола́		ashes		cendre (f)				yóo	'yoo		
192	0	пыль		dust		poussière (f)							
193	1	, по	(обозначает нахождение на поверхности, движение на неё или с неё, в зависимости от глагола)	on	(depending on the verb, can indicate a static position on the surface or a movement to or from it)	, par	(en fonction du verbe, désigne la position sur une surface, le mouvement vers ou sur la surface)		MG, LJ				
193	2	, от	(общелокати́вное значе́ние)	, in	(general locative meaning)	, de	(valeur locative générale)		SB	ká	'ka		
193	3	в тече́ние	общевременное значение		general temporal meaning	, pendant	(valeur temporelle générale)		LJ				
193	4	для		for		pour			LJ				
193	5	у	(значение суьъективного состояния, в сочетании с местоимением 1 серии и подлежащим-названием состояния)		when the subject is a name of a psycho-physical state, expresses, indicates the person who has this state		quand le sujet est un nom d'état psycho-physique, la postposition attribue cet état à une personne		LJ				
193	6	c	(значение совместности)?	with	(comitative meaning)	à	(litt.: toi et moi avec)		LJ				
195	0	гу́нди		gundi		goundi							
196	0	, плодоно́сить		, bear fruits		, porter des fruits							
197	0	ты	субъе́ктное перфе́ктное местоиме́ние	you 	2 person singular subject perfect pronoun	tu	pronom subjectif du parfait, 2ème pers. sg.						
198	1	све́рстник		age-mate		camarade (m, f) d'âge							
198	2	, това́рищ	(в дру́жбе ме́жду однопо́лыми)	, companion	(of the same sex)	, camarade (m, f)							
199	0	, ты её		, you... it		, tu la							
200	1	, внутрь	(воде́)	, near	(water)	, près	(de l'eau)		GJ				
200	2	, на пове́рхности		, on the surface		, à la surface de			LJ				
200	3	, на				, à côté de			DJ, LJ				
201	0	де́рево	(вид, растёт в сава́нне, не прино́сит плодо́в)	tree	(species)	arbre (m)	(de brousse)						
202	1.1	не́кий		certain		certain			LJ				
202	1.2	како́й-то		some		quelconque			LJ				
202	2	друго́й		other		autre			MG, LJ				
203	0	ты не	субъе́ктное отрица́тельно-имперфекти́вное местоиме́ние	you ... not	subject 2 pers. sg. pronoun of the negative imperfective series	tu ne	pronom subjectif de la série imperfective négative						
204	0	мя́гкий				, gâté	(aliments dans un état non comestible, banco trop liquide)						
205	0	(жи́дкая) ка́ша		mush		bouillie (f)				bhɤ̏ yíʌ	-bhö 'yië		
207	0	, кривля́ться				, faire des caprices	(en s'agitant)						
208	0	, бить мо́лотом	(о кузнеца́х то́же)			, marteler							
209	1	метла́	из па́льмовых побе́гов, не о́чень жёсткая; исп. для подмета́ния в до́ме			balai (m)	(de nervures de palmier, pas trop dur; pour balayer l'intérieur de la maison)						
209	2	метёлка	для отго́на мух; вполови́ну меньше, чем (1)										
210	0	я не	субъе́ктное отрица́тельно-имперфекти́вное местоиме́ние	I ... not	subject pronoun of the negative imperfective series	je ne	pronom subjectif de la série imperfective négative						
211	0	, бере́чь				, garder			GJ				
212	1					ridicule							
212	2	, бессмы́сленный											
214	1	, това́рищ	(в дружбе между однополыми)	, companion		, amie (f)	(dans l'amitié entre filles ou entre garçons)						
214	2	бли́жний							LJ				
215	0	панголи́н	(длиннохво́стый; вид)	long-tailed pangolin		pangolin (m) arboricole	(petit; larges écailles peu nombreuses; brun foncé; dessous du corps noirâtre, queue très longue)						
216	0	пти́чка		small bird		petit oiseau (m)							
217	1	сожена́	(друга́я жена́ му́жа -- в полига́мной семье́)	co-wife		coépouse (f)							
217	2	сосе́дка							GJ				
218	0	дру́жба	(c --	friendship	(with --	amitié (f)	(avec --						
219	1	быть (по)би́тым	(чем --			être battu	(avec --		LJ				
219	2	толка́т ь	(кого́ --			bousculer	(qn --		DJ, LJ				
219	3.1	, переме́шивать				brasser			DJ, LJ				
219	3.2	, мять				pétrir			GJ, LJ				
219	4	боле́ть				avoir mal			DJ, GJ, LJ				
220	0	пти́ца		bird		oiseau (m)	(terme générique)						
221		их	местоиме́ние 3 л. мн.ч. посесси́вной се́рии	their	3 pers. pl. pronoun of the possessive series	, leurs	pronom 3ème pers. pl. de la série possessive						
222	1	слы́шать		hear		entendre							
222	2	понима́ть		understand		comprendre			LJ				
222	3		(кому́ --				(à --		LJ				
223	0	созрева́ть		ripen		mûrir				bhɔ̏n 2	-mɔ 2		
224	0	я	местоиме́ние автоно́мной се́рии	I	pronoun of the autonomous series	moi	pronom 1ère pers. sg. de la série autonome						
225	0	, мои́	местоиме́ние 1 л. ед.ч. посесси́вной се́рии	my	1 pers. sg. pronoun of the possessive series	, mes	pronom 1ère pers. sg. de la série possessive						
226	0	я	субъе́ктное перфе́ктное местоиме́ние	I	subject perfect pronoun	je	pronom subjectif du parfait, 1ère pers. sg.						
228	0	, я её		, I ... it		, je la							
229	1	, идти́	(об оде́жде)	be suitable for		convenir	(habits)						
229	2	, быть досто́йным чего́-л		be suitable for		, être digne de							
231	0	ку́бик Ма́гги				cube (m) de bouillon Maggi				súbhádhángā, sísúŋgā	'sumanaga, 'sisungga		
232	0	бараба́н		drum		tambour (m)	(tam-tam simple)						
233	1	, сбо́рище	(собравшееся с одной целью)			, assemblée (f)	(unie pour une même cause)		LJ				
233	2.1					membre(s) d'une famille			LJ				
233	2.2					, descendant(s)			LJ				
234	0	раска́чивать				balancer qch							
235	0	ма́нго	(плод)	mango		mangue (f)							
236	0	папа́йя	(де́рево)	, pawpaw		papaye (f)	(fruit)	Carica papaya	LJ				
238	0	, потре́бность	(в --	need		besoin (m)	(de --		LJ				
239	0	, дру́жный				lié d'amitié							
241	0	черепа́ха		tortoise		tortue (f)							
242	1	борода́вка				verrue (f)			GA, LJ				
242	2	шесто́й па́лец	(на руке́, и́ли на ноге́)			sixième doigt (m)	(de la main ou du pied; honteux pour les parents d'un enfant ayant six doigts)		GA, LJ				
242	3	, рубе́ц	(в виде пятна или нароста; след от раны)	scar		cicatrice (f)	(sous forme de tache ou de bouton; apparaît après une blessure)		LJ	bhɒ̄ɒgā			
243	0					, avec violence	(sorte de violence, avec laquelle on tape/frappe qn; bruit d'un coup donné avec une force inattendue)						
245	1	борода́вка				verrue (f)			GA, LJ				
245	2	шесто́й па́лец				sixième doigt (m)			GA, LJ				
245	3	, рубе́ц		scar		cicatrice (f)			LJ	bhɒ̄ɒ			
246	1	бе́лка	(вид)	striped ground squirrel		, rat (m) palmiste	(grand écureuil: tête et corps de 22 à 30 cm, coloration, du dessus varie du sable pâle au rougeâtre et au brun foncé suivant l'humidité de l'habitat; avec une raie latérale blanche et le dessous blanchâtre. La queue, très touffue, est presqu'aussi longue que la dimension allant de la tête au corps, couverte de longs poils annelés noirs et blancs)	Euxerus erythropus	YA, SE, OD				
246	2					, rat palmiste		Heliosciurus gambianus	LJ				
246	3					écureuil (m) des palmiers		Epixerus ebii	LJ				
246	4								MB				
248	1	безде́льник				fainéant	(celui qui ne fait que se promener)						
248	2	беспла́тный				gratuit							
248	3	бесполе́зный											
249	1	моли́ться	(Богу)	pray		prier	(Dieu)						
249	2	проси́ть	(кого́-л --	, supplicate	(smb --	prier	(qn --						
249	3	проси́ть проще́ния				demander pardon			LJ				
250	0	се́мечко кунжу́та				graine (f) de sésame							
251	0	се́мечко кунжу́та				graine (f) de sésame							
252	0	, туда́		there	(on some distance from both interlocutors and within their zone of visibility)	, là-bas	(à distance des interlocuteurs et dans la zone de leur visibilité)						
253	0	тот		the		, la							
255	0	бамбу́ковая па́лка				canne (f) de bambou							
256	0	взя́точничество				, concussion (f)							
257	0	, како́й?		what?		, quel?			LJ				
258	0	, туда \	(дальше, чем	there		, là-bas	(plus loin que		LJ				
259	1.1	нырну́ть				plonger			LJ, SB				
259	1.2	, утопи́ть				noyer			LJ				
259	2.1	скры́ться из ви́да	(внеза́пно)			, se retirer	(soudainement)		LJ				
259	2.2	, проника́ть	(в зе́млю --			, pénétrer	(dans la terre --		LJ				
259	2.3	обры́згать				asperger			DJ, --LJ				
259	3	наноси́ть	(каоли́н и любу́ю косме́тику на лицо́ и те́ло)			se maquiller	(du kaolin sur le corps)		LJ				
259	4	стемне́ть				commencer à faire nuit			LJ				
259	5	надое́сть	(кому --			avoir marre	(de --		LJ				
261	0	ано́на	(тропи́ческий плод)			corossol (m)							
262	0	, чу́до		magics		, miracle (m)	(en général)						
